user_id,session_count_7d,feature_breadth,avg_session_duration_min,days_since_last_use,engagement_score,churned,plan,segment
usr_ecbcfac5,20,8,22.48,0,98.56,0,enterprise,power_user
usr_7f98a660,12,7,52.28,1,98.3,0,pro,power_user
usr_03f04ed6,17,7,37.22,0,99.23,0,enterprise,power_user
usr_a3648845,12,6,34.46,1,91.44,0,enterprise,power_user
usr_88b980f2,16,8,37.77,0,98.64,0,pro,power_user
usr_60a29b37,14,7,27.31,0,83.88,0,enterprise,power_user
usr_619f39e7,19,8,33.9,1,89.06,0,enterprise,power_user
usr_03a925e6,14,6,36.98,1,98.28,0,pro,power_user
usr_5a7c0bb1,12,8,39.08,1,86.08,0,enterprise,power_user
usr_cff2eecf,11,10,33.88,0,89.11,0,enterprise,power_user
usr_e3f5e97d,19,6,30.69,0,81.8,0,pro,power_user
usr_4c84408e,12,10,27.93,1,98.28,0,enterprise,power_user
usr_9a76f92c,12,9,28.69,0,89.2,0,pro,power_user
usr_22ab8db7,13,10,44.49,0,83.36,0,pro,power_user
usr_e4bddd68,12,10,20.0,0,99.58,0,pro,power_user
usr_6c31682c,20,9,51.85,1,92.21,0,enterprise,power_user
usr_90b34634,13,10,43.77,0,91.77,0,pro,power_user
usr_d19c0916,17,6,23.81,0,81.97,0,enterprise,power_user
usr_f202cfc2,17,6,54.76,0,92.5,0,pro,power_user
usr_f5ae1511,10,6,31.39,1,85.45,0,enterprise,power_user
usr_0cba211d,15,8,43.66,1,86.64,0,enterprise,power_user
usr_c3e42c5e,14,8,59.94,0,90.83,0,pro,power_user
usr_11910fda,10,6,42.41,1,89.27,0,pro,power_user
usr_7ba9b998,11,8,58.79,0,86.07,0,pro,power_user
usr_28eda223,16,6,47.23,1,88.96,0,pro,power_user
usr_261f1901,17,10,27.76,0,86.56,0,enterprise,power_user
usr_1393de9c,13,9,53.08,1,96.13,0,pro,power_user
usr_835fb5a5,15,6,54.19,0,95.66,0,enterprise,power_user
usr_4fd9edc9,17,6,48.31,0,86.69,0,enterprise,power_user
usr_9e8df70c,19,6,48.02,0,94.84,0,pro,power_user
usr_44893daf,15,10,30.3,0,96.08,0,enterprise,power_user
usr_9d111627,18,7,52.03,0,81.72,0,enterprise,power_user
usr_146e878a,14,8,34.82,0,81.02,0,enterprise,power_user
usr_4cdeb46c,15,6,56.52,1,97.91,0,pro,power_user
usr_8df9e73a,12,7,30.35,1,83.46,0,enterprise,power_user
usr_68f25216,14,8,41.67,1,92.2,0,enterprise,power_user
usr_2b874bde,15,6,28.74,1,82.44,0,pro,power_user
usr_6285d2ce,18,8,42.25,0,96.51,0,enterprise,power_user
usr_6874fa08,14,7,49.31,1,89.56,0,pro,power_user
usr_5611c8dc,16,7,36.32,0,89.19,0,enterprise,power_user
usr_a1abf47a,14,6,21.99,1,90.6,0,enterprise,power_user
usr_6f825c96,18,7,41.77,0,85.63,0,enterprise,power_user
usr_67f05a3d,10,6,57.02,0,98.11,0,enterprise,power_user
usr_dcfc0ce3,13,10,49.81,1,94.05,0,enterprise,power_user
usr_45a1ae69,20,8,51.56,0,95.96,0,pro,power_user
usr_33061976,18,10,49.8,0,99.76,0,enterprise,power_user
usr_2b0c3296,13,9,45.19,0,88.57,0,pro,power_user
usr_b680f3e3,17,8,26.98,0,84.83,0,enterprise,power_user
usr_0534b739,13,6,44.72,1,97.03,0,pro,power_user
usr_75292d19,13,9,23.27,0,80.01,0,pro,power_user
usr_b5e765d4,20,6,36.37,1,92.09,0,enterprise,power_user
usr_5001f0c7,18,6,33.45,1,85.14,0,pro,power_user
usr_019c1947,14,9,53.88,1,91.04,0,enterprise,power_user
usr_899cb78d,14,6,43.88,0,93.69,0,pro,power_user
usr_9d8a5893,18,8,34.62,0,97.22,0,pro,power_user
usr_1d3c454a,16,8,49.22,0,84.16,0,pro,power_user
usr_0f610f00,17,8,40.82,0,84.16,0,pro,power_user
usr_6b39a253,15,6,24.68,1,93.38,0,pro,power_user
usr_a81fde04,18,6,48.32,1,91.41,0,pro,power_user
usr_425931a1,18,9,56.3,1,82.35,0,pro,power_user
usr_4ee752b9,15,10,54.12,0,97.5,0,enterprise,power_user
usr_5646484e,17,8,45.87,1,83.36,0,enterprise,power_user
usr_11b4ea61,20,8,40.18,0,98.14,0,enterprise,power_user
usr_49a4677b,13,9,44.32,0,86.48,0,pro,power_user
usr_edf5e5d1,20,10,47.86,1,90.73,0,enterprise,power_user
usr_2a2c89c4,16,6,35.9,0,84.1,0,pro,power_user
usr_85c50c23,17,7,33.1,0,93.18,0,enterprise,power_user
usr_5d7094d2,16,6,43.73,0,93.5,0,pro,power_user
usr_0fc6b286,11,6,49.39,0,99.05,0,pro,power_user
usr_c4bdb803,17,6,50.08,0,95.3,0,enterprise,power_user
usr_df9c2438,18,8,59.76,0,88.94,0,pro,power_user
usr_da46702b,11,10,31.42,1,90.84,0,enterprise,power_user
usr_ef4eb83c,11,7,25.12,1,87.77,0,enterprise,power_user
usr_7a6360a8,10,9,31.18,0,81.93,0,enterprise,power_user
usr_655f849b,10,7,43.76,1,89.19,0,enterprise,power_user
usr_e973a1e2,11,6,50.09,1,99.29,0,enterprise,power_user
usr_5482e8ad,16,7,25.33,1,97.51,0,pro,power_user
usr_8ac2e507,10,8,25.37,0,95.96,0,enterprise,power_user
usr_ca62c960,20,6,28.34,1,93.16,0,enterprise,power_user
usr_316a66a8,12,6,45.53,1,93.49,0,enterprise,power_user
usr_a8fc71aa,11,8,41.14,1,95.52,0,enterprise,power_user
usr_812afbe4,18,8,25.81,0,98.28,0,enterprise,power_user
usr_767ca7b2,17,8,59.67,0,84.92,0,enterprise,power_user
usr_c68fc7c0,15,7,51.96,0,84.12,0,enterprise,power_user
usr_fad3f597,15,9,30.24,0,85.09,0,pro,power_user
usr_46ef2edd,13,6,28.92,0,91.0,0,enterprise,power_user
usr_98062857,18,6,38.88,1,90.52,0,enterprise,power_user
usr_c4db045f,16,10,54.53,0,94.27,0,enterprise,power_user
usr_63b162ed,19,8,32.53,1,97.03,0,enterprise,power_user
usr_22ece67e,12,7,56.06,1,84.78,0,pro,power_user
usr_e0831d54,20,10,53.19,0,85.58,0,enterprise,power_user
usr_a28f218d,10,6,20.82,1,99.92,0,enterprise,power_user
usr_64e01dbe,13,7,23.57,1,99.73,0,enterprise,power_user
usr_89218176,11,8,44.03,0,81.19,0,pro,power_user
usr_ed6a7879,19,8,37.59,0,86.4,0,enterprise,power_user
usr_480db4dc,16,8,50.34,1,82.76,0,enterprise,power_user
usr_9f66b2b9,12,8,29.26,1,81.23,0,pro,power_user
usr_7c10fa1f,14,7,29.81,0,94.31,0,enterprise,power_user
usr_6679507e,18,8,28.66,1,97.73,0,pro,power_user
usr_bec20f96,18,10,48.2,0,80.9,0,pro,power_user
usr_3f19cdd7,16,8,41.03,1,93.86,0,enterprise,power_user
usr_01c86f3e,14,7,33.31,1,81.37,0,enterprise,power_user
usr_01aa5668,11,7,35.72,1,84.62,0,enterprise,power_user
usr_39855226,10,6,37.79,0,94.86,0,enterprise,power_user
usr_7a849ae6,16,6,58.96,0,95.33,0,pro,power_user
usr_9f4a067f,17,6,36.12,1,87.57,0,enterprise,power_user
usr_d181b5c9,14,7,32.08,1,84.07,0,pro,power_user
usr_8aadde40,15,8,40.5,0,85.46,0,enterprise,power_user
usr_3d92ef8d,11,8,22.61,0,90.03,0,enterprise,power_user
usr_ec2893de,15,7,27.16,0,87.82,0,enterprise,power_user
usr_1c3ae851,14,10,24.74,1,82.41,0,enterprise,power_user
usr_8cdd8e91,13,8,59.36,1,88.94,0,enterprise,power_user
usr_d393ca77,14,6,54.93,1,92.71,0,enterprise,power_user
usr_97fedc68,17,8,24.82,1,89.04,0,enterprise,power_user
usr_98874f67,20,8,39.54,1,91.26,0,enterprise,power_user
usr_bf8e35bb,17,7,27.61,0,86.3,0,pro,power_user
usr_edc0f584,10,9,42.55,1,91.55,0,enterprise,power_user
usr_47b865e6,11,8,52.38,0,83.98,0,pro,power_user
usr_dcc0506f,10,9,27.3,1,80.53,0,enterprise,power_user
usr_63dae2af,15,8,23.32,1,89.46,0,enterprise,power_user
usr_0a50211f,10,10,50.61,1,81.89,0,pro,power_user
usr_a68b7cbf,14,8,29.01,0,97.67,0,enterprise,power_user
usr_1bc265f1,13,8,43.94,0,97.8,0,enterprise,power_user
usr_24289021,15,10,51.59,0,80.84,0,enterprise,power_user
usr_c10ad6e2,16,10,33.86,0,84.13,0,pro,power_user
usr_8103c699,13,8,33.51,1,92.21,0,enterprise,power_user
usr_fc597aa4,16,10,31.7,0,84.73,0,pro,power_user
usr_f0b42339,10,9,55.55,1,83.48,0,pro,power_user
usr_269a074a,14,10,46.08,0,81.11,0,enterprise,power_user
usr_b49f28f4,18,9,53.89,1,97.25,0,enterprise,power_user
usr_5031a6bb,14,6,38.68,0,99.75,0,enterprise,power_user
usr_5260bab2,20,6,51.7,0,91.38,0,pro,power_user
usr_8d78d35e,17,7,21.84,1,88.7,0,pro,power_user
usr_4a267c72,15,8,54.41,1,84.6,0,enterprise,power_user
usr_419b335f,18,10,33.82,0,89.49,0,enterprise,power_user
usr_cf02039a,19,9,31.83,1,91.65,0,pro,power_user
usr_baac7aef,19,8,35.83,1,93.18,0,enterprise,power_user
usr_ca706809,11,10,59.97,0,99.11,0,enterprise,power_user
usr_8a488e8c,15,7,59.27,1,90.89,0,enterprise,power_user
usr_ee636087,14,8,20.64,1,95.74,0,enterprise,power_user
usr_ac8b09ab,12,10,36.65,0,99.77,0,enterprise,power_user
usr_a9b19b37,11,8,49.21,1,95.94,0,enterprise,power_user
usr_647f88bd,19,8,29.67,0,95.98,0,enterprise,power_user
usr_38d8cfa7,20,9,45.76,0,81.62,0,enterprise,power_user
usr_a8076174,12,6,55.25,1,99.41,0,pro,power_user
usr_ac2c9ab7,17,7,22.43,1,98.04,0,pro,power_user
usr_204985c7,20,9,22.82,1,81.18,0,pro,power_user
usr_72a64e6d,11,10,27.39,0,96.45,0,pro,power_user
usr_d7a3aafc,15,10,59.73,0,90.58,0,pro,power_user
usr_6edcb1a6,12,10,58.61,1,96.6,0,enterprise,power_user
usr_e7f4f9bd,15,6,33.35,0,93.26,0,pro,power_user
usr_b1cf73b6,17,10,50.65,1,84.98,0,pro,power_user
usr_087b6f79,16,10,49.15,1,96.8,0,enterprise,power_user
usr_cb3d1b89,15,6,31.54,0,84.96,0,enterprise,power_user
usr_9235002f,13,8,34.47,1,89.96,0,enterprise,power_user
usr_66b54c33,19,10,30.25,1,89.73,0,pro,power_user
usr_bd325e5a,15,8,41.01,1,85.85,0,pro,power_user
usr_c1798084,13,10,34.6,0,87.09,0,pro,power_user
usr_f45ab508,19,8,28.6,0,88.74,0,pro,power_user
usr_d84c98b3,19,7,57.21,0,97.51,0,enterprise,power_user
usr_42114d4e,17,6,54.17,0,87.97,0,enterprise,power_user
usr_1e707df2,12,8,31.84,1,86.46,0,enterprise,power_user
usr_5da0f14d,19,8,52.45,0,97.75,0,enterprise,power_user
usr_4a248ce9,12,10,24.44,1,98.11,0,enterprise,power_user
usr_3bccf437,10,6,21.97,1,93.36,0,enterprise,power_user
usr_bf961c09,12,9,53.3,1,86.76,0,enterprise,power_user
usr_3371b9b6,10,8,49.77,0,95.1,0,enterprise,power_user
usr_b70ad742,20,7,40.49,1,97.08,0,pro,power_user
usr_ee42d8fa,11,7,23.43,0,93.92,0,pro,power_user
usr_c96156c5,10,10,26.15,1,89.55,0,enterprise,power_user
usr_5a795ee8,18,9,56.17,0,81.78,0,enterprise,power_user
usr_4ebe00f7,12,8,34.0,0,96.53,0,pro,power_user
usr_4d56f13c,17,8,34.89,0,87.51,0,enterprise,power_user
usr_a8c43497,17,9,28.27,1,95.02,0,enterprise,power_user
usr_0c4a099f,14,6,22.8,0,82.12,0,enterprise,power_user
usr_ac703e5c,15,9,34.3,0,82.99,0,enterprise,power_user
usr_7b41073a,14,10,52.02,1,83.78,0,enterprise,power_user
usr_6e221e71,13,10,26.84,0,85.42,0,enterprise,power_user
usr_a0057bb6,11,10,25.09,1,93.65,0,pro,power_user
usr_01043ce8,15,10,44.51,1,99.81,0,pro,power_user
usr_1fe3a2b7,16,10,44.37,1,91.42,0,enterprise,power_user
usr_78041570,11,8,20.31,0,86.45,0,pro,power_user
usr_dbc20d6b,14,9,43.25,1,95.18,0,pro,power_user
usr_01cf68de,18,7,20.33,1,89.86,0,enterprise,power_user
usr_c7e18ea7,11,6,37.49,0,88.33,0,enterprise,power_user
usr_44cde462,17,7,32.99,1,90.16,0,enterprise,power_user
usr_c1c9e8cc,20,6,41.6,1,89.25,0,enterprise,power_user
usr_16bf1d60,12,9,59.82,1,82.87,0,enterprise,power_user
usr_e70d239d,15,6,42.88,0,92.67,0,pro,power_user
usr_871de8af,18,8,37.33,0,92.29,0,enterprise,power_user
usr_3d67cd66,12,6,47.14,0,93.32,0,pro,power_user
usr_7ae1de5f,15,10,34.56,0,86.07,0,enterprise,power_user
usr_cff3c2fd,20,6,51.1,1,86.49,0,enterprise,power_user
usr_382b3daf,17,7,56.75,1,80.95,0,enterprise,power_user
usr_df61d4fb,14,8,34.0,0,90.46,0,enterprise,power_user
usr_40da6780,11,10,46.58,1,84.06,0,pro,power_user
usr_e7574b90,12,8,57.98,0,90.89,0,enterprise,power_user
usr_9e83a569,10,6,55.94,0,86.14,0,pro,power_user
usr_eb9d2615,12,9,48.49,0,91.3,0,pro,power_user
usr_6c475090,19,8,41.79,1,94.8,0,pro,power_user
usr_a475d20b,11,6,25.71,1,80.02,0,enterprise,power_user
usr_3eb2c986,19,6,56.95,1,98.25,0,enterprise,power_user
usr_c10a5af0,16,9,20.96,1,88.22,0,enterprise,power_user
usr_fa69f5cc,20,9,45.97,0,91.67,0,enterprise,power_user
usr_c3fa4b39,11,7,42.59,1,98.95,0,enterprise,power_user
usr_80174d79,14,9,25.89,1,99.3,0,pro,power_user
usr_2fa1ef0e,12,7,28.43,1,96.38,0,enterprise,power_user
usr_06724e38,15,10,24.94,1,92.05,0,enterprise,power_user
usr_49dd6693,13,6,52.12,1,88.03,0,pro,power_user
usr_001d652f,20,7,25.51,0,84.93,0,enterprise,power_user
usr_dd0ff370,11,9,31.63,0,90.65,0,enterprise,power_user
usr_b5c3dfe9,14,7,59.1,1,89.28,0,enterprise,power_user
usr_fdac1532,18,10,26.33,1,90.97,0,enterprise,power_user
usr_ba6cb3ef,13,9,54.36,0,81.37,0,pro,power_user
usr_7e880ffe,12,6,46.63,0,85.82,0,enterprise,power_user
usr_09b582c9,15,6,52.72,0,94.88,0,pro,power_user
usr_e043a450,13,10,36.84,1,90.53,0,enterprise,power_user
usr_f58872d3,15,7,26.65,1,86.84,0,pro,power_user
usr_4dd6f48b,18,10,43.79,1,84.38,0,pro,power_user
usr_f566bd4c,10,9,30.7,1,93.51,0,enterprise,power_user
usr_419ef37e,13,6,29.28,0,80.72,0,enterprise,power_user
usr_d1b466c6,18,10,43.04,0,89.23,0,enterprise,power_user
usr_c8f12119,13,9,42.99,1,82.54,0,enterprise,power_user
usr_053c8d5f,19,8,27.01,1,87.81,0,enterprise,power_user
usr_c949ea89,19,6,30.26,0,80.25,0,enterprise,power_user
usr_ce29d0ab,19,6,23.98,1,88.04,0,enterprise,power_user
usr_5d25804c,15,6,42.06,1,94.57,0,enterprise,power_user
usr_87cffe39,20,6,34.06,1,99.06,0,pro,power_user
usr_76ddab5a,20,8,49.54,0,80.62,0,pro,power_user
usr_bd3a4265,18,6,35.61,1,90.39,0,enterprise,power_user
usr_32e28b5c,20,10,38.95,1,99.19,0,enterprise,power_user
usr_d531aa4c,15,9,45.19,1,91.41,0,enterprise,power_user
usr_289d49ae,14,8,42.6,0,81.67,0,pro,power_user
usr_afe41631,14,6,49.36,1,87.82,0,enterprise,power_user
usr_b8bef895,13,10,29.33,0,97.37,0,pro,power_user
usr_75b4945a,18,7,59.08,0,80.35,0,enterprise,power_user
usr_eddf3b9c,16,8,54.03,1,92.78,0,pro,power_user
usr_bcb17734,20,7,35.93,0,93.66,0,enterprise,power_user
usr_e9344458,12,10,37.53,0,96.68,0,pro,power_user
usr_fcf39509,20,8,20.62,1,93.14,0,pro,power_user
usr_43cd122b,13,9,36.92,0,89.34,0,pro,power_user
usr_e2ea527b,16,6,34.35,1,86.63,0,enterprise,power_user
usr_3a75e760,16,8,33.48,0,96.11,0,pro,power_user
usr_45bad87c,15,7,39.42,0,84.94,0,enterprise,power_user
usr_7417d3fc,10,7,35.69,0,84.28,0,enterprise,power_user
usr_9c82c93e,11,7,55.91,1,98.48,0,enterprise,power_user
usr_e1319cb2,18,6,38.57,1,90.77,0,enterprise,power_user
usr_2bbdbc58,16,7,41.62,1,94.97,0,enterprise,power_user
usr_4cc19e1b,20,7,46.99,1,87.4,0,enterprise,power_user
usr_3f188cbf,14,7,55.38,0,89.71,0,enterprise,power_user
usr_578fecfc,19,8,33.74,0,85.27,0,enterprise,power_user
usr_696725f8,13,7,30.93,1,99.01,0,enterprise,power_user
usr_43c6526f,18,6,33.09,1,84.39,0,pro,power_user
