event_id,user_id,timestamp,event_type,feature_name,session_id
evt_168a488e9d75,usr_8c5ba85fabf0,2026-02-28T15:13:36.295915,page_view,,ses_6ae0397d
evt_2051f7f9d755,usr_8c5ba85fabf0,2026-02-26T12:42:22.295915,page_view,,ses_7b9ba601
evt_fcc8011e93e3,usr_8c5ba85fabf0,2026-02-18T09:44:03.295915,feature_used,feature_3,ses_e557137e
evt_9ea8c78a6a40,usr_8c5ba85fabf0,2026-02-14T19:25:06.295915,feature_used,feature_3,ses_2ef4b879
evt_fb969e3a06f5,usr_8b5a6a53efe9,2026-02-18T07:18:13.295915,page_view,,ses_b8481b76
evt_40ab119f64da,usr_8b5a6a53efe9,2026-02-21T09:45:01.295915,feature_used,feature_1,ses_4b2f7a35
evt_0df664239abb,usr_8b5a6a53efe9,2026-02-28T03:39:25.295915,feature_used,feature_3,ses_0ccb62a9
evt_742bea66174e,usr_8b5a6a53efe9,2026-03-18T01:59:24.295915,page_view,,ses_97aa8ea9
evt_bd2bdef09c59,usr_a0675d35c1fa,2026-04-23T20:35:15.295915,feature_used,feature_4,ses_d24218be
evt_20a22d353ffc,usr_a0675d35c1fa,2026-04-23T20:35:15.295915,page_view,,ses_f0dfb864
evt_069f738358ef,usr_a0675d35c1fa,2026-04-23T20:35:15.295915,export_done,,ses_1422e7c6
evt_c3c3c3a4f8b0,usr_a0675d35c1fa,2026-04-23T20:35:15.295915,page_view,,ses_d2e68480
evt_6e53b890f6df,usr_a0675d35c1fa,2026-04-23T20:35:15.295915,settings_changed,,ses_6f908b40
evt_7e23fa540280,usr_a0675d35c1fa,2026-04-23T20:35:15.295915,page_view,,ses_9decf9b5
evt_755a87b8c516,usr_a0675d35c1fa,2026-04-23T20:35:15.295915,feature_used,feature_2,ses_eca846a6
evt_decb906604d4,usr_a0675d35c1fa,2026-04-23T20:35:15.295915,feature_used,feature_4,ses_b7f416bf
evt_9953f3fd4e3a,usr_a0675d35c1fa,2026-04-23T20:35:15.295915,page_view,,ses_d3c3fd09
evt_b0b74f0ec0ed,usr_a0675d35c1fa,2026-04-23T20:35:15.295915,export_done,,ses_a3070bdd
evt_8e806690801d,usr_a0675d35c1fa,2026-04-23T20:35:15.295915,settings_changed,,ses_e6905816
evt_dfefef0e6eb5,usr_a0675d35c1fa,2026-04-23T20:35:15.295915,export_done,,ses_cd69edc8
evt_00ca6a3bec91,usr_a0675d35c1fa,2026-04-23T20:35:15.295915,invite_sent,,ses_92c08afb
evt_a057fefc35b7,usr_a0675d35c1fa,2026-04-23T20:35:15.295915,feature_used,feature_3,ses_c2816ffd
evt_4f8c5c70662e,usr_a0675d35c1fa,2026-04-23T20:35:15.295915,export_done,,ses_755f1a50
evt_8935f683658a,usr_a0675d35c1fa,2026-04-23T20:35:15.295915,page_view,,ses_3b6ca5fe
evt_fc32e88d5ed2,usr_a0675d35c1fa,2026-04-23T20:35:15.295915,page_view,,ses_cf43984b
evt_0ddd53fb2c21,usr_a0675d35c1fa,2026-04-23T20:35:15.295915,page_view,,ses_5cd2d9fd
evt_47ed49056886,usr_a0675d35c1fa,2026-04-23T20:35:15.295915,page_view,,ses_ea6c1560
evt_2e3d671b8c7e,usr_2fae83445c4a,2026-04-26T20:35:15.295915,invite_sent,,ses_39bf56d4
evt_1cd15b842986,usr_2fae83445c4a,2026-04-26T20:35:15.295915,page_view,,ses_c1ef6a03
evt_7fdbcfddf3d4,usr_2fae83445c4a,2026-04-26T20:35:15.295915,export_done,,ses_e690beea
evt_be33d91ab899,usr_2fae83445c4a,2026-04-26T20:35:15.295915,settings_changed,,ses_db0eace2
evt_def746ca2d08,usr_2fae83445c4a,2026-04-26T20:35:15.295915,page_view,,ses_a10869c2
evt_947c5e085253,usr_2fae83445c4a,2026-04-26T20:35:15.295915,page_view,,ses_1faf0775
evt_17ff519bc956,usr_2fae83445c4a,2026-04-26T20:35:15.295915,invite_sent,,ses_edbcaf0a
evt_5e5ff896e778,usr_2fae83445c4a,2026-04-26T20:35:15.295915,settings_changed,,ses_52968368
evt_ba4be96cdc0a,usr_2fae83445c4a,2026-04-26T20:35:15.295915,settings_changed,,ses_a4c9ab37
evt_b9f00601ba66,usr_2fae83445c4a,2026-04-26T20:35:15.295915,settings_changed,,ses_bdb2ec57
evt_a208e088d5b9,usr_2fae83445c4a,2026-04-26T20:35:15.295915,page_view,,ses_cf8edd6f
evt_4219c481b209,usr_2fae83445c4a,2026-04-26T20:35:15.295915,page_view,,ses_f7ebe689
evt_d13d0b1c8ef9,usr_2fae83445c4a,2026-04-26T20:35:15.295915,page_view,,ses_24e0d2de
evt_cb1e9c1ef757,usr_2fae83445c4a,2026-04-26T20:35:15.295915,invite_sent,,ses_adf52f82
evt_d2ad14367258,usr_2fae83445c4a,2026-04-26T20:35:15.295915,feature_used,feature_1,ses_5b6316d8
evt_62772f92b20d,usr_2fae83445c4a,2026-04-26T20:35:15.295915,page_view,,ses_0ea8af86
evt_dbaf2da36ddc,usr_2fae83445c4a,2026-04-26T20:35:15.295915,page_view,,ses_cf7da72c
evt_cc4f06836f6d,usr_2fae83445c4a,2026-04-26T20:35:15.295915,page_view,,ses_6593b280
evt_e2769fc0a72b,usr_2fae83445c4a,2026-04-26T20:35:15.295915,page_view,,ses_f6e097f5
evt_6b9ca8fb5e07,usr_2fae83445c4a,2026-04-26T20:35:15.295915,settings_changed,,ses_70a656fe
evt_7d6f65e42f8d,usr_2fae83445c4a,2026-04-26T20:35:15.295915,feature_used,feature_1,ses_bd8e03ce
evt_2b38f476edd3,usr_2fae83445c4a,2026-04-26T20:35:15.295915,invite_sent,,ses_e8248186
evt_ae88834bce90,usr_2fae83445c4a,2026-04-26T20:35:15.295915,feature_used,feature_1,ses_cc335f28
evt_71d2b0d5a39a,usr_2fae83445c4a,2026-04-26T20:35:15.295915,page_view,,ses_a5167ad9
evt_6ef9f4d0a9a6,usr_2fae83445c4a,2026-04-26T20:35:15.295915,settings_changed,,ses_0caceef9
evt_b1c077a65129,usr_2fae83445c4a,2026-04-26T20:35:15.295915,settings_changed,,ses_5a56f9bd
evt_0ae8ac1962cd,usr_2fae83445c4a,2026-04-26T20:35:15.295915,feature_used,feature_1,ses_47cce88c
evt_e382d4864ae3,usr_2fae83445c4a,2026-04-26T20:35:15.295915,settings_changed,,ses_4aa1cd05
evt_d93e9b9903df,usr_2fae83445c4a,2026-04-26T20:35:15.295915,feature_used,feature_1,ses_43999a09
evt_9b6df66c6679,usr_2fae83445c4a,2026-04-26T20:35:15.295915,feature_used,feature_1,ses_3ca9903a
evt_c73bb16262d0,usr_2fae83445c4a,2026-04-26T20:35:15.295915,feature_used,feature_1,ses_340059f6
evt_56631cbf5ec3,usr_2fae83445c4a,2026-04-26T20:35:15.295915,page_view,,ses_c10920f9
evt_39e86f39ca91,usr_2fae83445c4a,2026-04-26T20:35:15.295915,page_view,,ses_bf111a73
evt_d39b9b3ea83d,usr_2fae83445c4a,2026-04-26T20:35:15.295915,page_view,,ses_3c405902
