user_id,signup_date,plan,country,session_count_30d,session_count_7d,avg_session_duration_min,feature_breadth,days_since_last_use,engagement_score,churned
usr_8c5ba85fabf0,2026-02-04,free,FR,11,1,9.4,3,10,12,0
usr_8b5a6a53efe9,2026-02-16,free,FR,0,0,3.5,3,28,14,1
usr_a0675d35c1fa,2026-04-23,free,AU,7,0,9.5,4,16,22,0
usr_2fae83445c4a,2026-04-26,free,UK,20,2,1.3,1,8,50,0
usr_2d40f6fe214e,2026-02-27,free,AU,2,1,6.0,2,13,20,0
usr_623b58c12aa1,2026-03-23,free,FR,20,6,13.7,0,29,34,0
usr_4b83cc15856c,2026-03-30,free,IN,16,6,13.2,4,20,27,1
usr_da6583a29ddb,2026-02-09,free,BR,31,9,12.8,1,10,58,0
usr_47f1ae04775c,2026-03-06,pro,ES,37,8,8.8,3,3,58,0
usr_dad9518cd224,2026-04-17,free,US,10,1,12.4,3,24,25,1
usr_f7e9fe36e5fc,2026-04-14,pro,FR,24,9,9.6,3,27,38,1
usr_f33484079c5f,2026-04-10,enterprise,ES,52,10,21.8,9,0,85,0
usr_dc2ca17b12c9,2026-03-23,free,UK,19,4,1.0,4,13,32,0
usr_4432579a9c86,2026-03-29,pro,US,37,9,20.6,8,1,76,0
usr_942838ea8ba4,2026-03-03,free,DE,4,4,11.7,3,15,12,0
usr_60c57f2a4745,2026-02-27,free,UK,0,0,8.3,2,24,6,1
usr_4671f8d3a297,2026-03-01,free,IN,19,3,11.1,2,26,32,0
usr_e718aedf2a8c,2026-03-05,pro,ES,52,13,14.9,7,3,90,0
usr_401717c9813f,2026-02-03,free,ES,31,9,9.4,2,2,42,0
usr_3f58fbf7dcdb,2026-02-19,free,DE,8,3,11.8,3,12,26,1
usr_06fc95c86adc,2026-03-18,free,CA,13,0,9.3,3,17,39,1
usr_c4b959f9427d,2026-03-22,free,US,14,3,1.0,2,11,30,0
usr_aad92a52ca13,2026-04-17,free,DE,9,3,8.5,1,18,20,0
usr_da9c2ee95b86,2026-02-05,pro,IN,32,9,6.4,8,5,59,0
usr_4566a4563146,2026-04-15,free,ES,3,0,9.9,4,18,31,1
usr_2a0d5a3bba23,2026-03-05,free,US,20,1,8.0,0,5,47,0
usr_d1890c5ffcc0,2026-04-26,free,CA,28,8,1.3,3,6,52,0
usr_c13f57b643dd,2026-02-27,free,ES,33,7,3.8,1,5,63,0
usr_ddeed22501dc,2026-03-27,free,IT,16,3,7.1,3,28,38,0
usr_0d5f997b628a,2026-04-10,free,FR,10,3,7.6,5,19,9,1
usr_b5b780e952d2,2026-04-04,pro,DE,41,10,6.8,6,1,83,0
usr_f522089f9442,2026-04-07,free,IT,23,3,22.8,5,3,47,0
usr_4d3ce7d8aef5,2026-02-10,free,FR,15,0,13.0,0,24,36,0
usr_25a51156f138,2026-04-14,enterprise,ES,32,12,40.0,8,3,94,0
usr_148f608fef49,2026-03-21,free,IN,14,5,8.9,0,25,15,1
